DataMode,Dist,InRange
VhtMcs5,650.000000,0
VhtMcs5,700.000000,0
VhtMcs5,750.000000,0
VhtMcs5,800.000000,0
VhtMcs5,850.000000,0
VhtMcs5,900.000000,0
VhtMcs5,950.000000,0
VhtMcs5,1000.000000,0
VhtMcs6,100.000000,0
VhtMcs6,150.000000,0
VhtMcs6,200.000000,0
VhtMcs6,250.000000,0
VhtMcs6,300.000000,0
VhtMcs6,350.000000,0
VhtMcs6,400.000000,0
VhtMcs6,450.000000,0
VhtMcs6,500.000000,0
VhtMcs6,550.000000,0
VhtMcs6,600.000000,0
VhtMcs6,650.000000,0
VhtMcs6,700.000000,0
VhtMcs6,750.000000,0
VhtMcs6,800.000000,0
VhtMcs6,850.000000,0
VhtMcs6,900.000000,0
VhtMcs6,950.000000,0
VhtMcs6,1000.000000,0
VhtMcs7,100.000000,0
VhtMcs7,150.000000,0
VhtMcs7,200.000000,0
VhtMcs7,250.000000,0
VhtMcs7,300.000000,0
VhtMcs7,350.000000,0
VhtMcs7,400.000000,0
VhtMcs7,450.000000,0
VhtMcs7,500.000000,0
VhtMcs7,550.000000,0
VhtMcs7,600.000000,0
VhtMcs7,650.000000,0
VhtMcs7,700.000000,0
VhtMcs7,750.000000,0
VhtMcs7,800.000000,0
VhtMcs7,850.000000,0
VhtMcs7,900.000000,0
VhtMcs7,950.000000,0
VhtMcs7,1000.000000,0
VhtMcs8,100.000000,0
VhtMcs8,150.000000,0
VhtMcs8,200.000000,0
VhtMcs8,250.000000,0
VhtMcs8,300.000000,0
VhtMcs8,350.000000,0
VhtMcs8,400.000000,0
VhtMcs8,450.000000,0
VhtMcs8,500.000000,0
VhtMcs8,550.000000,0
VhtMcs8,600.000000,0
VhtMcs8,650.000000,0
VhtMcs8,700.000000,0
VhtMcs8,750.000000,0
VhtMcs8,800.000000,0
VhtMcs8,850.000000,0
VhtMcs8,900.000000,0
VhtMcs8,950.000000,0
VhtMcs8,1000.000000,0
VhtMcs9,100.000000,0
VhtMcs9,150.000000,0
VhtMcs9,200.000000,0
VhtMcs9,250.000000,0
VhtMcs9,300.000000,0
VhtMcs9,350.000000,0
VhtMcs9,400.000000,0
VhtMcs9,450.000000,0
VhtMcs9,500.000000,0
VhtMcs9,550.000000,0
VhtMcs9,600.000000,0
VhtMcs9,650.000000,0
VhtMcs9,700.000000,0
VhtMcs9,750.000000,0
VhtMcs9,800.000000,0
VhtMcs9,850.000000,0
VhtMcs9,900.000000,0
VhtMcs9,950.000000,0
VhtMcs9,1000.000000,0
